"","tableal.comparisons","tableal.Z","tableal.P.adjusted"
"1","1 - 10",0.299895887555428,0.382128285648882
"2","1 - 12",-1.64942738155485,0.049530054485024
"3","10 - 12",-1.94932326911028,0.0256284157186914
"4","1 - 13",-1.76322208373923,0.0389315202781332
"5","10 - 13",-1.98992206593427,0.0232997606058835
"6","12 - 13",-0.516372181666488,0.302797245545519
"7","1 - 14",-0.0916348545308253,0.46349407901476
"8","10 - 14",-0.391530742086253,0.347702484860192
"9","12 - 14",1.55779252702403,0.0596412190371098
"10","13 - 14",1.69395264473519,0.0451371410015368
"11","1 - 15",0.28323500491346,0.388498348232998
"12","10 - 15",-0.0166608826419685,0.493353576977969
"13","12 - 15",1.93266238646831,0.0266389008169221
"14","13 - 15",1.97732762247899,0.024002304654354
"15","14 - 15",0.374869859444285,0.353878627936586
"16","1 - 18",-2.15985423439298,0.0153919778006035
"17","10 - 18",-2.44259878871351,0.00729096905544301
"18","12 - 18",-0.604759185630034,0.272669508074551
"19","13 - 18",0.0304184708365075,0.487866657037081
"20","14 - 18",-2.07346006501726,0.0190647419866612
"21","15 - 18",-2.42689075791793,0.00761442031946533
"22","1 - 19",-2.47401485030468,0.00668020715657786
"23","10 - 19",-2.75675940462522,0.00291886439092101
"24","12 - 19",-0.91891980154174,0.17906876090881
"25","13 - 19",-0.212929295855553,0.415691055765548
"26","14 - 19",-2.38762068092896,0.00847891709833783
"27","15 - 19",-2.74105137382963,0.00306214655026331
"28","18 - 19",-0.298038929220698,0.382836725886182
"29","1 - 20",-1.43261794303812,0.075983525570362
"30","10 - 20",-1.65931792523317,0.0485258725400294
"31","12 - 20",-0.185768040965383,0.426313333930007
"32","13 - 20",0.276603269131262,0.391042377102405
"33","14 - 20",-1.36334850403408,0.0863863511384448
"34","15 - 20",-1.64672348177789,0.0498074476996856
"35","18 - 20",0.288975472946822,0.386300073482939
"36","19 - 20",0.532323239638882,0.297251069570089
"37","1 - 21",-0.441513390012158,0.329420684986485
"38","10 - 21",-0.741409277567586,0.229222660460498
"39","12 - 21",1.2079139915427,0.113540173577855
"40","13 - 21",1.4294693321743,0.076434691682922
"41","14 - 21",-0.349878535481333,0.363214928181233
"42","15 - 21",-0.724748394925617,0.234303199882337
"43","18 - 21",1.74359141830997,0.0406151803932735
"44","19 - 21",2.05775203422167,0.0198069713060299
"45","20 - 21",1.0988651914732,0.135913435766942
"46","1 - 22",0.674765746999713,0.249912302845757
"47","10 - 22",0.374869859444285,0.353878627936586
"48","12 - 22",2.32419312855457,0.0100575727150817
"49","13 - 22",2.27329704367808,0.0115041427882526
"50","14 - 22",0.766400601530538,0.221718987502223
"51","15 - 22",0.391530742086253,0.347702484860192
"52","18 - 22",2.79602948161418,0.00258673404452994
"53","19 - 22",3.11019009752589,0.000934834869428361
"54","20 - 22",1.94269290297697,0.0260266371225238
"55","21 - 22",1.11627913701187,0.132151334553336
"56","1 - 23",1.24123575682663,0.107259334634242
"57","10 - 23",0.941339869271204,0.17326535874628
"58","12 - 23",2.89066313838149,0.00192214972479663
"59","13 - 23",2.7015081211576,0.00345128973058743
"60","14 - 23",1.33287061135746,0.0912871342047673
"61","15 - 23",0.958000751913173,0.16903118970164
"62","18 - 23",3.33010252866408,0.000434070053984647
"63","19 - 23",3.64426314457579,0.000134079477304934
"64","20 - 23",2.3709039804565,0.008872320142141
"65","21 - 23",1.68274914683879,0.0462118316087444
"66","22 - 23",0.566470009826919,0.28553715720227
"67","1 - 3",-0.543803886837525,0.293288216923089
"68","10 - 3",-0.85703492565594,0.195712791483372
"69","12 - 3",1.17896682666375,0.119205692784802
"70","13 - 3",1.40346923186874,0.0802384803755203
"71","14 - 3",-0.448094402754121,0.327042533708727
"72","15 - 3",-0.839633201277139,0.200557038853033
"73","18 - 3",1.73445309833166,0.041418860361362
"74","19 - 3",2.06093838742938,0.0196544592214748
"75","20 - 3",1.06470079659008,0.143505674744396
"76","21 - 3",-0.0826581907993038,0.46706166498321
"77","22 - 3",-1.24857372417896,0.105910513913347
"78","23 - 3",-1.84023235305819,0.032867066007439
"79","1 - 31",0.208261033024603,0.417512577837889
"80","10 - 31",-0.0916348545308253,0.46349407901476
"81","12 - 31",1.85768841457946,0.0316066373375804
"82","13 - 31",1.92065262693023,0.0273877578469366
"83","14 - 31",0.299895887555428,0.382128285648882
"84","15 - 31",-0.0749739718888569,0.470117710508059
"85","18 - 31",2.35620461933779,0.00923137227804309
"86","19 - 31",2.6703652352495,0.00378843899925024
"87","20 - 31",1.59004848622913,0.0559119381281243
"88","21 - 31",0.649774423036761,0.257918971270804
"89","22 - 31",-0.46650471397511,0.320427137080063
"90","23 - 31",-1.03297472380203,0.150807863747543
"91","3 - 31",0.761325441572535,0.223231354096933
"92","1 - 32",0.708087512283649,0.239445456994668
"93","10 - 32",0.408191624728221,0.341566498248599
"94","12 - 32",2.3575148938385,0.00919885863545245
"95","13 - 32",2.29848593058864,0.0107670738710038
"96","14 - 32",0.799722366814475,0.211935835503429
"97","15 - 32",0.42485250737019,0.335472098919364
"98","18 - 32",2.82744554320535,0.00234604975615793
