Date,PM2.5
2016-11-30,9.8
2016-11-29,9.5
2016-11-28,15
2016-11-27,8.6
2016-11-26,10.4
2016-11-25,35.2
2016-11-24,20.2
2016-11-23,13
2016-11-22,5.3
2016-11-21,2.5
2016-11-20,1.2
2016-11-19,16.8
2016-11-18,14.5
2016-11-17,8
2016-11-16,12.4
2016-11-15,10.8
2016-11-14,14.1
2016-11-13,6.3
2016-11-12,3.3
2016-11-11,3.6
2016-11-10,
2016-11-09,9.7
2016-11-08,6.8
2016-11-07,5.5
2016-11-06,3.9
2016-11-05,5.2
2016-11-04,5
2016-11-03,14.5
2016-11-02,
2016-11-01,6.2
2016-10-31,4.2
2016-10-30,9.2
2016-10-29,9.3
2016-10-28,4
2016-10-27,7.5
2016-10-26,5.1
2016-10-25,3.5
2016-10-24,5
2016-10-23,4.5
2016-10-22,1.6
2016-10-21,3.2
2016-10-20,9
2016-10-19,11.6
2016-10-18,13.4
2016-10-17,13.1
2016-10-16,8
2016-10-15,7.1
2016-10-14,5.3
2016-10-13,6.5
2016-10-12,8
2016-10-11,5.2
2016-10-10,3
2016-10-09,2.1
2016-10-08,4.8
2016-10-07,
2016-10-06,5.2
2016-10-05,6
2016-10-04,6.9
2016-10-03,8.1
2016-10-02,7
2016-10-01,2.4
2016-09-30,
2016-09-29,
2016-09-28,7.1
2016-09-27,7.4
2016-09-26,5.8
2016-09-25,4.5
2016-09-24,9.9
2016-09-23,12.5
2016-09-22,9
2016-09-21,10.1
2016-09-20,7.8
2016-09-19,4
2016-09-18,5.9
2016-09-17,4.7
2016-09-16,3.1
2016-09-15,3.5
2016-09-14,7.7
2016-09-13,5.7
2016-09-12,3.3
2016-09-11,7.3
2016-09-10,14.1
2016-09-09,13.6
2016-09-08,12.2
2016-09-07,8.7
2016-09-06,7.5
2016-09-05,6.5
2016-09-04,5.7
2016-09-03,5.3
2016-09-02,
2016-09-01,8.8
2017-11-30,7.5
2017-11-29,11
2017-11-28,13
2017-11-27,7.7
2017-11-26,3.4
2017-11-25,12.8
2017-11-24,17.2
2017-11-23,5.7
2017-11-22,4.4
2017-11-21,6.8
2017-11-20,5.3
2017-11-19,2.8
2017-11-18,9.2
2017-11-17,5.4
2017-11-16,6.1
2017-11-15,11.8
2017-11-14,15
2017-11-13,
2017-11-12,
2017-11-11,
2017-11-10,
2017-11-09,
2017-11-08,6.2
2017-11-07,
2017-11-06,
2017-11-05,7.3
2017-11-04,3.9
2017-11-03,7.1
2017-11-02,10
2017-11-01,7.8
2017-10-31,5.7
2017-10-30,3
2017-10-29,2.7
2017-10-28,6.5
2017-10-27,
2017-10-26,4.2
2017-10-25,4.2
2017-10-24,4.3
2017-10-23,5.8
2017-10-22,10.5
2017-10-21,10.4
2017-10-20,8
2017-10-19,8.7
2017-10-18,7.3
