Date,PM2.5
2016-11-29,8.5
2016-11-26,9.8
2016-11-23,13.2
2016-11-20,1.6
2016-11-17,9.2
2016-11-14,16.3
2016-11-11,4.1
2016-11-08,12.3
2016-11-05,8.8
2016-11-02,13.7
2016-10-30,9.7
2016-10-27,5.7
2016-10-24,5.3
2016-10-21,3.3
2016-10-18,13.1
2016-10-15,12.5
2016-10-12,7.2
2016-10-09,2.1
2016-10-06,5.1
2016-10-03,8.2
2016-09-30,1.4
2016-09-27,8.1
2016-09-24,11.9
2016-09-21,10.2
2016-09-18,6.3
2016-09-15,4
2016-09-12,3.1
2016-09-09,13.9
2016-09-06,7.5
2016-09-03,5.8
2017-11-30,7
2017-11-27,10.2
2017-11-24,21.9
2017-11-21,6.8
2017-11-18,10.9
2017-11-15,9.4
2017-11-12,21.6
2017-11-09,7.8
2017-11-06,6.8
2017-11-03,7.7
2017-10-31,6.3
2017-10-28,5.5
2017-10-27,6
2017-10-25,null
2017-10-22,10.7
2017-10-19,9.8
2017-10-16,2.4
2017-10-13,5.3
2017-10-10,5.8
2017-10-07,6.5
2017-10-04,6.3
2017-10-01,5.1
2017-09-28,5.8
2017-09-25,10.3
2017-09-22,9.7
2017-09-19,11.4
2017-09-16,10.5
2017-09-13,8.2
2017-09-10,4.1
2017-09-07,4.5
2017-09-04,11.2
2017-09-01,6.6
2018-11-28,3.8
2018-11-22,7.8
2018-11-16,null
2018-11-10,3.4
2018-11-04,6.4
2018-10-29,3.1
2018-10-23,5.5
2018-10-17,4.3
2018-10-11,4
2018-10-05,4.6
2018-09-29,8.2
2018-09-23,3.4
2018-09-17,4.1
2018-09-11,4.1
2018-09-05,13
2019-11-29,3.5
2019-11-23,4.7
2019-11-17,4.5
2019-11-11,17
2019-11-05,9.5
2019-10-30,5.9
2019-10-24,6.7
2019-10-18,2.9
2019-10-12,6.3
2019-10-06,4
2019-09-30,4.2
2019-09-24,3.6
2019-09-18,4.6
2019-09-12,8.5
2019-09-06,5.4
2020-11-29,12.3
2020-11-23,5.8
2020-11-17,3.8
2020-11-11,3.7
2020-11-05,13.5
2020-10-30,3.1
2020-10-24,5.2
2020-10-18,8.7
2020-10-12,1.2
2020-10-06,7.8
2020-09-30,3.4
2020-09-24,12.2
2020-09-18,8.1
2020-09-12,5.3
2020-09-06,7.9
2011-09-03,11.9
2011-09-06,1.4
2011-09-09,5.4
2011-09-12,14.8
2011-09-15,8.2
2011-09-18,4.2
2011-09-21,5.9
2011-09-24,7.2
2011-09-27,6.5
2011-09-30,10
2011-10-01,2.6
2011-10-06,5.6
2011-10-09,18.5
2011-10-12,4.4
2011-10-15,3.5
2011-10-18,9.5
2011-10-21,3.5
2011-10-24,15.2
2011-10-30,7.2
2011-11-02,16.4
2011-11-05,8.9
2011-11-08,18.6
2011-11-11,6.6
2011-11-14,10
2011-11-17,4.2
2011-11-20,13
2011-11-23,4.6
2011-11-26,25.6
2011-11-29,3.2
2012-09-03,10.7
2012-09-06,6.8
2012-09-09,4.7
2012-09-12,11
2012-09-15,7.1
2012-09-18,4.7
2012-09-21,7.3
2012-09-24,5.6
2012-09-27,10.7
2012-10-05,15
2012-10-06,12.4
2012-10-09,6.4
2012-10-12,7.4
2012-10-15,7.2
2012-10-21,5.2
2012-10-24,19.1
2012-10-27,6.1
2012-10-30,1.8
2012-11-02,5
2012-11-05,5.9
2012-11-08,4.8
2012-11-11,21.6
2012-11-14,8.4
2012-11-17,13.6
2012-11-20,16.5
2012-11-23,21.8
2012-11-26,23
2012-11-29,18.2
2013-11-30,14
2013-11-27,3.2
2013-11-24,1.7
2013-11-21,9
2013-11-18,3.2
2013-11-15,26.8
2013-11-10,7.3
2013-11-09,9.9
2013-11-03,17.7
2013-10-31,2.6
2013-10-28,12.1
2013-10-25,5.2
2013-10-16,7.9
2013-10-13,7.4
2013-10-10,2.5
2013-10-07,5.2
2013-10-04,22
2013-10-01,13.4
2013-09-28,6.5
2013-09-25,6
2013-09-22,3.5
2013-09-19,7.1
2013-09-16,7
2013-09-13,6.1
2013-09-10,17.4
2013-09-04,5.4
2013-09-01,12.1
2014-11-28,7.7
2014-11-25,8.7
2014-11-22,15.4
2014-11-19,5
2014-11-17,9.1
2014-11-16,12.3
2014-11-04,15
2014-11-01,3.9
2014-10-29,11.4
2014-10-26,5.9
2014-10-23,3.5
2014-10-20,7.4
2014-10-18,6
2014-10-14,5.1
2014-10-11,8.2
2014-10-08,6
2014-10-05,6.2
2014-10-02,5.2
2014-09-29,17.2
2014-09-26,9.4
2014-09-25,3.4
2014-09-20,9.7
2014-09-17,7.7
2014-09-14,4.8
2014-09-11,7.7
2014-09-08,5.5
2014-09-05,14.2
2014-09-02,12.6
2015-11-29,6.2
2015-11-26,14.9
2015-11-23,5.7
2015-11-20,6.5
2015-11-17,5.2
2015-11-14,8.1
2015-11-11,3.5
2015-11-08,9.4
2015-11-05,20.6
2015-11-02,10.2
2015-10-30,4.2
2015-10-28,3.3
2015-10-27,4.4
2015-10-24,4.6
2015-10-21,
2015-10-18,4.7
2015-10-15,8.2
2015-10-12,8.8
2015-10-09,10.6
2015-10-06,6.2
2015-10-03,1.2
2015-09-30,1.9
2015-09-27,4.4
2015-09-24,5.9
2015-09-21,3.5
2015-09-18,12.9
2015-09-15,10.2
2015-09-12,6.9
2015-09-09,5.7
2015-09-06,6.3
2015-09-04,22.1
2015-09-01,18.2
