"Date","PM2.5","Yr.x","Site","combo.x","mo.x","Fe","Pb","Al","Yr.y","mo.y","combo.y","Alper","Feper","Pbper"
2016-11-29,8.5,"16","ES","16-11","11",0.153,0,0.034,"16","11","16-11",0.4,1.8,0
2016-11-26,9.8,"16","ES","16-11","11",0.058,0.002,0.033,"16","11","16-11",0.336734693877551,0.591836734693878,0.0204081632653061
2016-11-23,13.2,"16","ES","16-11","11",NA,NA,NA,"16","11","16-11",NA,NA,NA
2016-11-20,1.6,"16","ES","16-11","11",0.032,0.003,0.037,"16","11","16-11",2.3125,2,0.1875
2016-11-17,9.2,"16","ES","16-11","11",0.14,0,0.019,"16","11","16-11",0.206521739130435,1.52173913043478,0
2016-11-14,16.3,"16","ES","16-11","11",0.207,0.023,0.024,"16","11","16-11",0.147239263803681,1.26993865030675,0.141104294478528
2016-11-11,4.1,"16","ES","16-11","11",0.068,0.006,0.043,"16","11","16-11",1.04878048780488,1.65853658536585,0.146341463414634
2016-11-08,12.3,"16","ES","16-11","11",0.235,0,0.079,"16","11","16-11",0.642276422764228,1.91056910569106,0
2016-11-05,8.8,"16","ES","16-11","11",0.097,0.011,0.038,"16","11","16-11",0.431818181818182,1.10227272727273,0.125
2016-11-02,13.7,"16","ES","16-11","11",0.13,0.002,0,"16","11","16-11",0,0.948905109489051,0.0145985401459854
2016-10-30,9.7,"16","ES","16-10","10",0.082,0.005,0.042,"16","10","16-10",0.43298969072165,0.845360824742268,0.0515463917525773
2016-10-27,5.7,"16","ES","16-10","10",0.047,0.005,0,"16","10","16-10",0,0.824561403508772,0.087719298245614
2016-10-24,5.3,"16","ES","16-10","10",0.04,0.013,0,"16","10","16-10",0,0.754716981132076,0.245283018867925
2016-10-21,3.3,"16","ES","16-10","10",0.033,0.003,0.016,"16","10","16-10",0.484848484848485,1,0.0909090909090909
2016-10-18,13.1,"16","ES","16-10","10",0.183,0.001,0.052,"16","10","16-10",0.396946564885496,1.3969465648855,0.00763358778625954
2016-10-15,12.5,"16","ES","16-10","10",0.084,0.009,0.035,"16","10","16-10",0.28,0.672,0.072
2016-10-12,7.2,"16","ES","16-10","10",NA,NA,NA,"16","10","16-10",NA,NA,NA
