"","as.character.tablefe.comparisons.","tablefe.Z","tablefe.P.adjusted"
"1","1 - 10",1.48008268467563,0.0694255909535681
"2","1 - 12",-0.0160658673713955,0.493590921945508
"3","10 - 12",-1.41150120477263,0.079048440312094
"4","1 - 13",-0.592542145918976,0.276743803547429
"5","10 - 13",-1.71137948976599,0.0435055404542898
"6","12 - 13",-0.560005530946138,0.287737832546061
"7","1 - 14",0.915314291838875,0.180013329182197
"8","10 - 14",-0.564768392836752,0.286115654047319
"9","12 - 14",0.87903245760637,0.189691838712189
"10","13 - 14",1.28445471382436,0.0994914496606788
"11","1 - 15",0.701091798004245,0.241622864311157
"12","10 - 15",-0.778990886671383,0.217992541574741
"13","12 - 15",0.677061553508823,0.249183450478779
"14","13 - 15",1.12251772984651,0.130821186704678
"15","14 - 15",-0.21422249383463,0.415186777841856
"16","1 - 18",-0.404775538304389,0.342821255570901
"17","10 - 18",-1.68656474293496,0.0458435380798982
"18","12 - 18",-0.372928629966355,0.354600781502875
"19","13 - 18",0.219253416581544,0.413226323590848
"20","14 - 18",-1.19746096748382,0.115563466275887
"21","15 - 18",-1.01193884576097,0.155783647138274
"22","1 - 19",-0.297959771251842,0.382866933835792
"23","10 - 19",-1.15248590767222,0.124560728679456
"24","12 - 19",-0.282300240954526,0.388856650415688
"25","13 - 19",0.138280025167424,0.445009555725463
"26","14 - 19",-0.826416724038128,0.204283869842228
"27","15 - 19",-0.702735309556231,0.241110359287521
"28","18 - 19",-0.0266669300450542,0.489362694874008
"29","1 - 20",0.198740843972825,0.421232736199768
"30","10 - 20",-0.920096499874187,0.178761166638433
"31","12 - 20",0.204446463678749,0.41900231205388
"32","13 - 20",0.662034847318837,0.253974444502478
"33","14 - 20",-0.493171723932564,0.310945627708838
"34","15 - 20",-0.331234739954707,0.370233590612793
"35","18 - 20",0.505969422880487,0.306439057619303
"36","19 - 20",0.402269164123415,0.343742972853907
"37","1 - 21",2.32183746277379,0.0101208446033499
"38","10 - 21",1.04004825814322,0.149158740390168
"39","12 - 21",2.23421206241104,0.0127345615661225
"40","13 - 21",2.40054381744409,0.00818536533299343
"41","14 - 21",1.52915203359436,0.063113379246941
"42","15 - 21",1.7146741553172,0.0432024922647573
