Round,Weight
R1,2.18
R1,20.72
R1,14.5
R1,15.32
R1,58.82
R1,5.34
R1,2.05
R1,63.39
R1,13.51
R1,15.74
R1,15.79
R1,2.33
R1,5.97
R1,3.26
R1,44.88
R1,13.24
R1,2.6
R1,26.83
R1,16.66
R1,7.84
R1,7.64
R1,12.51
R1,3.01
R1,13.23
R1,0.51
R1,27.63
R1,15.7
R1,36.59
R1,13.18
R1,5.45
R1,5.79
R1,27.09
R1,58.47
R1,19.63
R1,8
R1,8.22
R1,28.75
R1,6.08
R1,21.48
R1,28.04
R1,16.69
R1,56.31
R1,10.9
R1,13.01
R1,19.35
R1,8.79
R1,3.24
R1,0.98
R1,2.88
R1,113.11
R1,8.91
R1,2.95
R1,11.7
R1,4.37
R1,4.49
R1,7.8
R1,2.99
R1,8.24
R1,1.24
R1,11.86
R1,16.41
R1,1.7
R1,6.7
R1,16.87
R1,7.66
R1,11.92
R1,14.32
R1,3.16
R1,23.6
R1,1.69
R1,5
R1,15.22
R1,3.27
R1,192.86
R1,4.7
R1,12.59
R1,5.58
R1,3.65
R1,3.53
R1,4.36
R1,3.77
R1,1.55
R1,2.71
R1,27.99
R1,5.33
R1,4.73
R1,4.07
R1,36.36
R1,15.73
R1,19.61
R1,14.67
R1,29.56
R1,6.37
R1,1.71
R1,13.3
R1,6.85
R1,43.5
R1,18.93
R1,21.77
R1,28.3
R1,13.85
R1,23.91
R1,53.37
R1,8.36
R1,1.28
R1,1.56
R1,5.42
R1,1.07
R1,8.32
R1,1.39
R1,39.66
R1,89.5
R1,8.65
R1,11.71
R1,9.05
R1,15.77
R1,4.57
R1,4.43
R1,8.98
R1,17.07
R1,18.58
R1,85.53
R1,7.05
R1,25.45
R1,84.17
R1,15.98
R1,18.56
R1,12.08
R1,30.66
R1,59.26
R1,5.27
R1,7.37
R1,7.59
R1,3.47
R1,7.43
R1,8.76
R1,6.86
R1,6.59
R1,10.28
R1,32.71
R1,23.88
R1,16.29
R1,12.98
R1,7.36
R1,2.46
R1,12.99
R1,1.46
R1,6.73
R1,4.8
R1,3.53
R1,3.4
R1,1.01
R1,2.5
R1,7.32
R1,6.55
R1,7.61
R1,1.48
R1,7.47
R1,0.16
R1,13.01
R1,1.42
R1,5.49
R1,1.84
R1,8.05
R1,4.6
R1,15.74
R1,4.49
R1,1.13
R1,14.52
R1,8.35
R1,45.76
R1,5.63
R1,1.29
R1,19.14
R1,3.47
R1,8.89
R1,22.66
R1,14.55
R1,7.03
R1,8.94
R1,12.56
R1,2.06
R1,66.32
R1,11.71
R1,4.49
R1,5.61
R1,15.99
R1,4.76
R1,39.71
R1,18.47
R1,44.59
R1,10.41
R1,3.36
R1,16.43
R1,77.56
R1,2.17
R1,4.44
R1,8.95
R1,16.11
R1,8.59
R1,0.61
R1,17.94
R1,2.78
R1,3.26
R1,476.51
R1,1.54
R1,15.51
R1,5.02
R1,17.17
R1,3.32
R1,14.59
R1,0.58
R1,2.37
R1,5.1
R1,5.79
R1,4.06
R2,1.16
R2,2.41
R2,0.02
R2,1.33
R2,0.94
R2,94.18
R2,3.34
R2,8.7
R2,1.4
R2,1.02
R2,1.67
R2,0.89
R2,0.24
R2,1.08
R2,0.11
R2,5.98
R2,10.55
R2,2.13
R2,19.8
R2,1.66
R2,2
R2,3.87
R2,0.38
R2,0.02
R2,2.29
R2,11.37
R2,0.25
R2,0.82
R2,2.7
R2,0.12
R2,9.14
R2,0.91
R2,0.83
R2,0.18
R2,0.33
R2,25.32
R2,8.06
R2,11.46
R2,30.24
R2,7.73
R2,33.01
R2,14.49
R2,27.09
R2,13.77
R2,14.47
R2,12.03
R2,14.35
R2,22.77
R2,4.85
R2,26.4
R2,23.35
R2,11.53
R2,5.16
R2,14
R2,20.23
R2,5.1
R2,6.36
R2,6.23
R2,6.41
R2,14.57
R2,4.61
R2,22.9
R2,15.08
R2,26.63
R2,20.44
R2,5.58
R2,20.31
R2,20.83
R2,3.85
R2,25.42
R2,14.03
R2,11.94
R2,5.88
R2,12.72
R2,13.43
R2,10.72
R2,7.77
R2,2.41
R2,2.21
R2,10.83
R2,8.52
R2,10.61
R2,21.22
R2,15.8
R2,20.51
R2,15.52
R2,4.91
R2,72.82
R2,5.12
R2,3.93
R2,15.02
R2,15.69
R2,2.12
R2,1.04
R2,1.65
R2,13.52
R2,1.85
R2,2.2
R2,0.68
R2,0.3
R2,0.83
R2,3.93
R2,0.47
R2,1.74
R2,0.49
R2,0.38
R2,0.21
R2,1.65
R2,0.34
R2,0.96
R2,1.26
R2,13.95
R2,1
R2,48.57
R2,0.75
R2,2.42
R2,5.88
R2,0.55
R2,4.19
R2,2.46
R2,1.2
R2,1.48
R2,3.6
R2,14.2
R2,0.47
R2,2.72
R2,8.21
R2,0.22
R2,0.91
R2,0.65
R2,4.18
R2,3.89
R2,3.42
R2,15.99
R2,0.18
R2,1.01
R2,0.66
