Date,PM2.5
2016-11-29,6.1
2016-11-26,8
2016-11-23,8.5
2016-11-20,0.8
2016-11-17,8.1
2016-11-14,10.5
2016-11-11,4.3
2016-11-08,6.4
2016-11-05,5
2016-11-02,10.2
2016-10-30,9.4
2016-10-27,5.9
2016-10-24,5.1
2016-10-21,3.3
2016-10-18,11
2016-10-15,4.9
2016-10-12,4.2
2016-10-09,2
2016-10-06,4.7
2016-10-03,6
2016-09-30,1.5
2016-09-27,6
2016-09-24,10
2016-09-21,10
2016-09-18,5
2016-09-15,4
2016-09-12,3.3
2016-09-09,12.7
2016-09-06,7.5
2016-09-03,5.1
2016-11-20,1.6
2016-11-08,6.3
2016-10-27,5.8
2016-10-15,4.8
2016-10-03,6
2016-09-21,9.7
2016-09-15,3.9
2016-09-09,
2017-11-30,6.9
2017-11-27,5.2
2017-11-24,12.4
2017-11-21,5.6
2017-11-18,7.9
2017-11-15,7.5
2017-11-12,11.7
2017-11-09,8.9
2017-11-06,6.2
2017-11-03,5.9
2017-10-31,4.3
2017-10-28,5.1
2017-10-25,4.2
2017-10-22,6.5
2017-10-19,7.1
2017-10-16,2.6
2017-10-13,4.5
2017-10-10,5.2
2017-10-07,5.5
2017-10-04,6.6
2017-10-01,2.8
2017-09-28,6.7
2017-09-25,11
2017-09-22,8.8
2017-09-19,8
2017-09-16,11.4
2017-09-13,6
2017-09-10,3.3
2017-09-07,4.3
2017-09-04,11
2017-09-01,5.1
2017-11-30,6.2
2017-11-27,
2017-11-15,7.9
2017-11-03,6.2
2017-10-22,6.2
2017-10-10,5.3
2017-09-28,6.7
2017-09-16,8.2
2017-09-04,11.2
2018-11-28,2.8
2018-11-25,5.8
2018-11-22,2.8
2018-11-19,13.3
2018-11-16,3
2018-11-13,4.2
2018-11-10,2.5
2018-11-07,4.5
2018-11-04,4.6
2018-11-01,8.2
2018-10-29,3
2018-10-26,4.5
2018-10-23,5.2
2018-10-20,4.8
2018-10-17,4.2
2018-10-14,4.7
2018-10-11,3.9
2018-10-08,7.5
2018-10-05,5.3
2018-10-02,9.8
2018-09-29,7.4
2018-09-26,5.7
2018-09-23,3.4
2018-09-20,6.6
2018-09-17,3.4
2018-09-14,4
2018-09-11,3.7
2018-09-08,4.4
2018-09-05,12.9
2018-09-02,4.9
2018-11-22,2.8
2018-11-10,2.5
2018-10-29,2.8
2018-10-17,4.6
2018-10-05,5.1
2018-09-23,3.4
2018-09-11,3.8
2019-11-29,3.7
2019-11-26,8.8
2019-11-23,3.1
2019-11-20,15
2019-11-17,3.8
2019-11-14,7
2019-11-11,12.5
2019-11-08,2.3
2019-11-05,6.8
2019-11-02,5.6
2019-10-30,5.8
2019-10-27,3.1
2019-10-24,4.7
2019-10-21,4
2019-10-18,2.5
2019-10-15,5.4
2019-10-12,5.2
2019-10-09,3.5
2019-10-06,3.7
2019-10-03,4.7
2019-09-30,4
2019-09-27,6
2019-09-24,4.9
2019-09-22,12.4
2019-09-21,9
2019-09-18,5.7
2019-09-15,
2019-09-12,9
2019-09-09,7.2
2019-09-06,6.3
2019-09-03,5.7
2019-11-29,3.5
2019-11-17,3.7
2019-11-05,7.2
2019-10-24,4.6
2019-10-12,5.2
2019-09-30,4
2019-09-18,5.2
2019-09-06,6.2
2020-11-29,6.9
2020-11-26,5.2
2020-11-23,4.7
2020-11-20,8.1
2020-11-17,2.6
2020-11-14,6.8
2020-11-11,
2020-11-08,
2020-11-05,
2020-11-02,1.6
2020-10-30,1.2
2020-10-27,6
2020-10-24,3.8
2020-10-21,5.6
2020-10-18,5.6
2020-10-15,7.3
2020-10-12,0.8
2020-10-09,4.4
2020-10-06,
2020-10-03,3.5
2020-09-30,3
2020-09-27,3.4
2020-09-24,9.6
2020-09-21,3.5
2020-09-18,7.7
2020-09-15,2.6
2020-09-12,4.4
2020-09-09,4.7
2020-09-07,5.5
2020-09-06,6.7
2020-09-04,7.7
2020-09-03,6.2
2020-11-23,4.8
2020-11-11,3.3
2020-10-30,0.9
2020-10-18,5.4
2020-10-06,7
2020-09-24,
2020-09-12,
2011-11-23,3.7
2011-11-11,6.4
2011-10-30,3.2
2011-10-18,8.7
2011-10-06,4
2011-09-24,5.9
2011-09-18,4
2011-09-12,9.3
2011-11-29,2.5
2011-11-26,10.2
2011-11-23,3.8
2011-11-20,9.5
2011-11-17,4.4
2011-11-14,8.7
2011-11-11,6.1
2011-11-08,10.2
2011-11-05,3.4
2011-11-02,10.3
2011-10-30,3.2
2011-10-27,11.5
2011-10-24,11.1
2011-10-21,3.5
2011-10-18,8.7
2011-10-15,3.5
2011-10-09,10.2
2011-10-06,4.1
2011-10-03,3.2
2011-09-30,7.7
2011-09-27,6.8
2011-09-24,6.1
2011-09-21,6.3
2011-09-18,3.9
2011-09-15,7.9
2011-09-13,14.7
2011-09-12,9.3
2011-09-10,8.8
2011-09-09,3.6
2011-09-06,1.7
2011-09-04,19.4
2011-09-03,12.9
2012-11-29,9.8
2012-11-26,14.4
2012-11-23,9.8
2012-11-20,10.1
2012-11-17,6.5
2012-11-14,6.5
2012-11-11,16.1
2012-11-08,4.7
2012-11-05,6.5
2012-11-02,4.7
2012-10-30,1.2
2012-10-27,4.7
2012-10-24,13.2
2012-10-21,5.2
2012-10-18,5.8
2012-10-15,6.9
2012-10-12,6
2012-10-09,4.6
2012-10-06,9.1
2012-10-03,7
2012-09-30,7.6
2012-09-27,9.2
