"Date","PM2.5","Yr.x","Site","combo.x","mo.x","Fe","Pb","Al","Yr.y","mo.y","combo.y","Alper","Feper","Pbper"
2016-11-29,6.1,"16","HU","16-11","11",0.066,0,0.019,"16","11","16-11",0.311475409836066,1.08196721311475,0
2016-11-26,8,"16","HU","16-11","11",0.031,0.004,0,"16","11","16-11",0,0.3875,0.05
2016-11-23,8.5,"16","HU","16-11","11",NA,NA,NA,"16","11","16-11",NA,NA,NA
2016-11-20,0.8,"16","HU","16-11","11",0.002,0,0,"16","11","16-11",0,0.25,0
2016-11-17,8.1,"16","HU","16-11","11",0.105,0.025,0,"16","11","16-11",0,1.2962962962963,0.308641975308642
2016-11-14,10.5,"16","HU","16-11","11",0.414,0.012,0.1,"16","11","16-11",0.952380952380952,3.94285714285714,0.114285714285714
2016-11-11,4.3,"16","HU","16-11","11",0.073,0.002,0.022,"16","11","16-11",0.511627906976744,1.69767441860465,0.0465116279069767
2016-11-08,6.4,"16","HU","16-11","11",0.248,0,0.034,"16","11","16-11",0.53125,3.875,0
2016-11-05,5,"16","HU","16-11","11",0.048,0,0.014,"16","11","16-11",0.28,0.96,0
2016-11-02,10.2,"16","HU","16-11","11",0.139,0.008,0.002,"16","11","16-11",0.0196078431372549,1.36274509803922,0.0784313725490196
2016-10-30,9.4,"16","HU","16-10","10",0.116,0.007,0.051,"16","10","16-10",0.542553191489362,1.23404255319149,0.074468085106383
2016-10-27,5.9,"16","HU","16-10","10",0.063,0.015,0,"16","10","16-10",0,1.06779661016949,0.254237288135593
2016-10-24,5.1,"16","HU","16-10","10",0.085,0.002,0.003,"16","10","16-10",0.0588235294117647,1.66666666666667,0.0392156862745098
2016-10-21,3.3,"16","HU","16-10","10",0.039,0,0.039,"16","10","16-10",1.18181818181818,1.18181818181818,0
2016-10-18,11,"16","HU","16-10","10",0.106,0.001,0.068,"16","10","16-10",0.618181818181818,0.963636363636364,0.00909090909090909
2016-10-15,4.9,"16","HU","16-10","10",0.049,0.011,0.012,"16","10","16-10",0.244897959183673,1,0.224489795918367
2016-10-12,4.2,"16","HU","16-10","10",0.044,0,0.041,"16","10","16-10",0.976190476190476,1.04761904761905,0
2016-10-09,2,"16","HU","16-10","10",0.03,0.007,0.03,"16","10","16-10",1.5,1.5,0.35
2016-10-06,4.7,"16","HU","16-10","10",0.075,0.002,0,"16","10","16-10",0,1.59574468085106,0.0425531914893617
2016-10-03,6,"16","HU","16-10","10",0.029,0.004,0.001,"16","10","16-10",0.0166666666666667,0.483333333333333,0.0666666666666667
2016-09-30,1.5,"16","HU","16-09","09",0.012,0.002,0,"16","09","16-09",0,0.8,0.133333333333333
2016-09-27,6,"16","HU","16-09","09",0.073,0.006,0.025,"16","09","16-09",0.416666666666667,1.21666666666667,0.1
2016-09-24,10,"16","HU","16-09","09",0.039,0,0.001,"16","09","16-09",0.01,0.39,0
2016-09-21,10,"16","HU","16-09","09",0.046,0.005,0.038,"16","09","16-09",0.38,0.46,0.05
2016-09-18,5,"16","HU","16-09","09",0.031,0.012,0.034,"16","09","16-09",0.68,0.62,0.24
2016-09-15,4,"16","HU","16-09","09",0.099,0,0.089,"16","09","16-09",2.225,2.475,0
2016-09-12,3.3,"16","HU","16-09","09",0.033,0,0.038,"16","09","16-09",1.15151515151515,1,0
2016-09-09,12.7,"16","HU","16-09","09",0.163,0.003,0.034,"16","09","16-09",0.267716535433071,1.28346456692913,0.0236220472440945
2016-09-06,7.5,"16","HU","16-09","09",NA,NA,NA,"16","09","16-09",NA,NA,NA
2016-09-03,5.1,"16","HU","16-09","09",0.031,0,0.022,"16","09","16-09",0.431372549019608,0.607843137254902,0
2016-11-20,1.6,"16","HU","16-11","11",0.002,0,0,"16","11","16-11",0,0.125,0
2016-11-08,6.3,"16","HU","16-11","11",0.248,0,0.034,"16","11","16-11",0.53968253968254,3.93650793650794,0
2016-10-27,5.8,"16","HU","16-10","10",0.063,0.015,0,"16","10","16-10",0,1.08620689655172,0.258620689655172
2016-10-15,4.8,"16","HU","16-10","10",0.049,0.011,0.012,"16","10","16-10",0.25,1.02083333333333,0.229166666666667
