Date,Fe,Pb,Al,Yr
2018-10-08,0.036,0.008,0,18
2018-10-20,0.032,0.013,0,18
2019-10-21,0.031,0.005,0,19
2018-09-29,0.089,0,0,18
2017-10-25,0.066,0,0,17
2019-11-26,0.523,0.019,0,19
2019-09-09,0.051,0.002,0,19
2016-10-24,0.04,0.013,0,16
2019-10-09,0.043,0.007,0,19
2019-09-30,0.021,0.007,0,19
2017-10-28,0.024,0.012,0,17
2017-11-24,0.106,0.02,0,17
2018-09-08,0.031,0.006,0,18
2017-10-13,0.03,0.007,0,17
2019-11-08,0.027,0,0,19
2018-10-11,0.042,0.003,0,18
2017-10-10,0.08,0.001,0,17
2017-11-03,0.142,0.002,0,17
2018-11-22,0.04,0.02,0,18
2018-10-14,0.051,0,0,18
2019-11-20,0.039,0.001,0,19
2019-11-17,0.02,0.006,0,19
2018-11-19,0.11,0.009,0,18
2016-10-27,0.047,0.005,0,16
2019-09-18,0.044,0.007,0,19
2019-09-15,0.045,0.003,0,19
2018-09-17,0.009,0.007,0,18
2016-09-06,0.056,0.007,0,16
2019-10-06,0.014,0,0,19
2018-10-26,0.068,0.011,0,18
2017-09-16,0.08,0.009,0,17
2018-09-14,0.027,0.008,0,18
2017-11-21,0.039,0.01,0,17
2016-10-06,0.054,0.001,0,16
2016-09-03,0.033,0.001,0,16
2016-11-02,0.13,0.002,0,16
2019-10-03,0.007,0,0,19
2018-11-10,0.022,0.004,0,18
2018-11-04,0.034,0.008,0,18
2017-09-07,0.052,0,0,17
2017-10-01,0.065,0.007,0,17
2015-09-06,0.0046,0,0,15
2013-11-24,0.0066,0,0,13
2014-11-01,0.0077,0,0,14
2013-10-13,0.0134,0,0,13
2014-11-07,0.0145,0,0,14
2014-10-23,0.0243,0,0,14
2011-09-06,0.0252,0,0,11
2012-09-18,0.0274,0,0,12
2012-11-08,0.0289,0,0,12
2012-10-21,0.0304,0,0,12
2011-10-12,0.0318,0,0,11
2014-10-08,0.0353,0,0,14
2014-10-26,0.0387,0,0,14
2014-10-17,0.0415,0,0,14
2014-09-23,0.0423,0,0,14
2011-10-30,0.0425,0,0,11
2012-11-02,0.0429,0,0,12
2011-10-15,0.0447,0,0,11
2014-10-05,0.0476,0,0,14
2012-09-15,0.0513,0,0,12
2012-10-18,0.0516,0,0,12
2011-09-24,0.0533,0,0,11
2012-11-11,0.055,0,0,12
2013-09-22,0.0074,0.001,0,13
2012-09-09,0.0242,0.001,0,12
2011-11-29,0.0411,0.001,0,11
2012-10-15,0.0495,0.001,0,12
2015-10-06,0.0816,0.001,0,15
2015-10-12,0.0896,0.001,0,15
