Date,Fe,Pb,Al,Yr
2019-10-21,0.037,0.011,0,19
2018-11-19,0.075,0.012,0,18
2018-11-22,0.014,0.007,0,18
2020-11-11,0.03,0.006,0,20
2019-09-18,0.073,0.009,0,19
2018-10-11,0.103,0.006,0,18
2019-10-09,0.033,0.016,0,19
2017-10-13,0.037,0,0,17
2018-11-04,0.024,0.002,0,18
2017-11-06,0.06,0.009,0,17
2019-09-30,0.023,0.001,0,19
2016-11-26,0.031,0.004,0,16
2018-09-08,0.032,0.011,0,18
2020-09-27,0.018,0.006,0,20
2019-11-08,0.08,0.007,0,19
2018-10-20,0.04,0.005,0,18
2019-11-11,0.069,0.006,0,19
2018-10-26,0.077,0.007,0,18
2017-09-07,0.148,0,0,17
2018-09-14,0.011,0,0,18
2016-10-06,0.075,0.002,0,16
2017-10-04,0.213,0,0,17
2020-09-30,0.029,0.006,0,20
2019-09-15,0.05,0.008,0,19
2020-11-05,0.101,0.006,0,20
2020-10-24,0.016,0,0,20
2019-10-06,0.023,0,0,19
2017-09-16,0.104,0,0,17
2019-11-26,0.169,0.009,0,19
2017-10-28,0.041,0,0,17
2020-10-18,0.026,0.008,0,20
2018-10-14,0.03,0,0,18
2016-09-30,0.012,0.002,0,16
2018-09-29,0.111,0.007,0,18
2016-11-17,0.105,0.025,0,16
2016-10-27,0.063,0.015,0,16
2018-09-02,0.02,0,0,18
2019-10-30,0.03,0,0,19
2019-09-09,0.082,0,0,19
2018-11-25,0.032,0.008,0,18
2020-10-12,0.012,0.004,0,20
2017-11-21,0.099,0.008,0,17
2018-09-11,0.034,0,0,18
2018-09-17,0.01,0,0,18
2020-10-21,0.035,0.004,0,20
2018-10-08,0.042,0.005,0,18
2017-09-28,0.094,0,0,17
2018-11-13,0.151,0,0,18
2016-11-20,0.002,0,0,16
2015-09-18,0.055,0,0,15
2015-10-03,0.0071,0,0,15
2015-10-09,0.0544,0,0,15
2015-10-24,0.0234,0,0,15
2015-11-11,0.033,0,0,15
2014-09-08,0.0305,0,0,14
2014-09-20,0.0224,0,0,14
2014-09-23,0.0272,0,0,14
2014-09-26,0.03,0,0,14
2014-09-29,0.196,0,0,14
2014-10-08,0.055,0,0,14
2014-10-11,0.021,0,0,14
2014-10-14,0.0058,0,0,14
2014-10-23,0.0835,0,0,14
2014-11-07,0.0975,0,0,14
2013-09-13,0.0454,0,0,13
2013-09-25,0.0711,0,0,13
2013-10-10,0.0267,0,0,13
2013-10-13,0.0162,0,0,13
2013-10-25,0.0779,0,0,13
2013-11-03,0.0175,0,0,13
2013-11-09,0.0581,0,0,13
2012-09-09,0.0271,0,0,12
2012-09-27,0.0572,0,0,12
2012-10-15,0.0235,0,0,12
2012-10-18,0.0183,0,0,12
2012-11-02,0.0469,0,0,12
2011-09-15,0.0422,0,0,11
2011-10-30,0.0442,0,0,11
2011-11-23,0.0271,0,0,11
2011-11-29,0.0255,0,0,11
2015-09-06,0.0163,0.001,0,15
2014-09-14,0.0429,0.001,0,14
2014-10-05,0.0325,0.001,0,14
2014-11-01,0.0134,0.001,0,14
2013-09-28,0.0273,0.001,0,13
2013-11-23,0.0347,0.001,0,13
2012-10-27,0.0223,0.001,0,12
2012-11-11,0.0563,0.001,0,12
2015-09-30,0.0514,0.002,0,15
2014-10-17,0.0551,0.002,0,14
2013-10-19,0.0498,0.002,0,13
2013-11-30,0.0308,0.002,0,13
2012-09-21,0.0413,0.002,0,12
2014-10-02,0.0846,0.003,0,14
2014-10-20,0.0698,0.003,0,14
2015-09-12,0.021,0.004,0,15
2014-11-13,0.0535,0.004,0,14
2014-11-16,0.077,0.004,0,14
2013-10-28,0.0701,0.004,0,13
2011-10-18,0.0724,0.004,0,11
2020-10-15,0.044,0.009,0,20
2016-09-24,0.039,0,0.001,16
2011-09-18,0.0426,0,0.001,11
2016-10-03,0.029,0.004,0.001,16
2011-10-24,0.0853,0.0043,0.001,11
2019-11-05,0.195,0.006,0.001,19
2020-11-08,0.062,0.008,0.001,20
2012-09-30,0.0547,0,0.002,12
2019-10-18,0.07,0.001,0.002,19
2012-09-18,0.0205,0.001,0.002,12
2012-11-17,0.0726,0.001,0.002,12
2016-11-02,0.139,0.008,0.002,16
2017-11-12,0.056,0,0.003,17
2016-10-24,0.085,0.002,0.003,16
2013-09-07,0.055,0.003,0.003,13
2018-09-23,0.02,0,0.004,18
2020-09-12,0.017,0,0.004,20
2019-11-23,0.023,0,0.004,19
2013-09-01,0.0279,0,0.004,13
2018-11-16,0.089,0.002,0.004,18
2013-09-04,0.0726,0.001,0.005,13
2018-10-29,0.059,0.003,0.005,18
2015-10-27,0.0765,0.004,0.005,15
2013-09-22,0.0221,0,0.006,13
2012-09-15,0.0526,0,0.006,12
2011-11-02,0.179,0.005,0.006,11
2018-09-05,0.12,0.006,0.006,18
2018-11-10,0.022,0,0.007,18
2015-09-09,0.0446,0,0.007,15
2018-10-17,0.336,0.002,0.007,18
2015-11-29,0.026,0.002,0.007,15
2019-10-24,0.072,0,0.008,19
2019-11-02,0.124,0,0.008,19
2014-11-25,0.0515,0,0.008,14
2012-09-03,0.0235,0,0.008,12
2012-10-21,0.0209,0,0.008,12
2014-09-11,0.0474,0.003,0.008,14
2013-11-06,0.0221,0,0.009,13
2014-09-17,0.0265,0.001,0.01,14
2013-10-16,0.0967,0.001,0.01,13
2020-11-14,0.085,0.009,0.01,20
2018-11-28,0.053,0,0.011,18
2012-09-06,0.0651,0,0.011,12
2017-11-03,0.19,0.002,0.011,17
2014-10-29,0.064,0.002,0.011,14
2019-11-29,0.072,0.003,0.011,19
2017-10-07,0.052,0,0.012,17
2020-11-23,0.082,0,0.012,20
2012-09-12,0.167,0,0.012,12
2015-11-26,0.022,0.002,0.012,15
2020-09-09,0.064,0.004,0.012,20
2019-09-21,0.071,0.004,0.012,19
2016-10-15,0.049,0.011,0.012,16
2017-10-25,0.338,0,0.013,17
2014-10-26,0.0898,0,0.013,14
2013-11-18,0.0451,0,0.013,13
2011-09-30,0.0888,0,0.013,11
2013-11-21,0.199,0.001,0.013,13
2017-11-24,0.128,0.011,0.013,17
2016-11-05,0.048,0,0.014,16
2014-11-19,0.0773,0,0.014,14
2012-10-03,0.162,0.001,0.014,12
2015-10-21,0.162,0.007,0.014,15
2020-09-15,0.047,0,0.015,20
2015-10-30,0.0647,0,0.015,15
2011-09-06,0.0411,0,0.015,11
2015-09-21,0.0437,0.001,0.015,15
2011-11-05,0.0903,0.0044,0.015,11
2020-09-21,0.11,0.005,0.015,20
2020-11-17,0.079,0,0.016,20
2018-09-20,0.039,0,0.016,18
2019-11-20,0.255,0.008,0.016,19
2017-09-01,0.03,0,0.017,17
2018-10-02,0.046,0,0.017,18
2020-10-30,0.031,0,0.017,20
2020-11-02,0.039,0,0.017,20
2013-10-07,0.0183,0,0.017,13
2011-09-24,0.04,0.001,0.017,11
2012-11-23,0.154,0.005,0.017,12
2018-10-23,0.16,0,0.018,18
2020-10-09,0.113,0,0.018,20
2015-11-14,0.048,0,0.018,15
2020-09-24,0.228,0.006,0.018,20
2016-11-29,0.066,0,0.019,16
2015-11-08,0.0263,0,0.019,15
2013-09-19,0.0666,0,0.019,13
2017-11-27,0.084,0.007,0.019,17
2018-11-07,0.112,0,0.02,18
2019-09-24,0.256,0,0.02,19
2017-11-15,0.14,0.001,0.02,17
2011-10-15,0.0204,0.001,0.02,11
2011-11-17,0.0228,0.002,0.02,11
