Day,PM10
9/4/2017,18
9/10/2017,7
9/16/2017,18
9/22/2017,20
9/28/2017,19
10/4/2017,20
10/10/2017,16
10/16/2017,6
10/22/2017,19
10/28/2017,13
11/3/2017,15
11/9/2017,9
11/15/2017,16
11/21/2017,14
11/27/2017,15
9/6/2020,13
9/12/2020,14
9/18/2020,18
9/24/2020,32
9/30/2020,7
10/6/2020,14
10/12/2020,2
10/18/2020,15
10/24/2020,11
10/30/2020,NA
11/5/2020,22
11/11/2020,12
11/17/2020,11
11/23/2020,14
11/29/2020,11
9/6/2019,14
9/12/2019,18
9/18/2019,14
9/24/2019,10
9/30/2019,17
10/6/2019,14
10/12/2019,12
10/18/2019,6
10/24/2019,15
10/30/2019,NA
11/2/2019,10
11/5/2019,17
11/11/2019,27
11/17/2019,8
11/23/2019,6
11/29/2019,5
9/5/2018,24
9/11/2018,10
9/17/2018,15
9/23/2018,6
9/29/2018,13
10/5/2018,16
10/11/2018,12
10/17/2018,11
10/23/2018,15
10/29/2018,5
11/4/2018,7
11/10/2018,4
11/16/2018,5
11/22/2018,3
11/28/2018,5
