,tablepb.comparisons,tablepb.Z,tablepb.P.adjusted
123,Dec-41,-3.600375834,0.000158879
213,Dec-57,-3.40033364,0.000336518
130,21 - 41,-3.312893353,0.000461681
9,14-Dec,-3.288251998,0.000504058
409,Dec-73,-3.241707215,0.00059408
395,41 - 72,3.230755501,0.000617318
58,23-Dec,-3.173259005,0.00075369
131,22 - 41,-3.129872513,0.000874411
136,33 - 41,-3.120452259,0.000902868
220,21 - 57,-3.103423011,0.00095648
400,57 - 72,3.018591402,0.001269764
416,21 - 73,-3.01172123,0.001298855
41,14 - 21,3.000769516,0.001346492
124,13 - 41,-2.993299435,0.001379894
435,72 - 73,-2.946010949,0.001609505
207,41 - 56,2.92160364,0.001741172
383,14 - 72,2.918631665,0.001757857
221,22 - 57,-2.897562812,0.001880372
65,21 - 23,-2.885776524,0.001952246
226,33 - 57,-2.883143899,0.001968638
410,13 - 73,-2.834291516,0.002296371
354,Dec-71,-2.81620924,0.0024297
390,23 - 72,2.803638672,0.002526475
214,13 - 57,-2.791720464,0.002621431
427,56 - 73,-2.77430651,0.002765977
50,14 - 22,2.769462951,0.002807439
417,22 - 73,-2.760288102,0.00288752
110,14 - 33,2.744016748,0.003034622
10,13 - 14,-2.720855415,0.003255662
231,56 - 57,-2.718254136,0.00328137
422,33 - 73,-2.718254136,0.00328137
328,Dec-70,-2.692665923,0.003544163
195,14 - 56,2.64915962,0.004034611
256,Dec-59,-2.644787808,0.004087108
66,22 - 23,-2.636680481,0.004186083
59,13 - 23,-2.620481302,0.004390287
117,23 - 33,2.605329981,0.004589291
361,21 - 71,-2.559077092,0.005247523
202,23 - 56,2.548785507,0.005404938
153,41 - 42,2.548480454,0.005409667
335,21 - 70,-2.510846038,0.006022111
406,71 - 72,2.485610764,0.006466467
293,41 - 6,2.475444624,0.00665352
405,70 - 72,2.458897499,0.00696822
329,13 - 70,-2.436633212,0.007412354
263,21 - 59,-2.38765566,0.00847811
346,56 - 70,-2.38765566,0.00847811
355,13 - 71,-2.3819977,0.008609502
170,41 - 43,2.36963972,0.008902713
424,42 - 73,-2.355000422,0.009261342
372,56 - 71,-2.316287419,0.01027129
402,59 - 72,2.314189332,0.010328669
438,9-Dec,-2.302597777,0.010650742
228,42 - 57,-2.299977185,0.010724756
431,Jun-73,-2.265587117,0.011738337
362,22 - 71,-2.258790923,0.011948197
336,22 - 70,-2.245101281,0.012380816
257,13 - 59,-2.22867371,0.012917811
425,43 - 73,-2.216470985,0.013329631
298,57 - 6,2.214035174,0.01341318
2,12-Jan,2.21224614,0.013474831
141,14 - 42,2.20868306,0.013598347
367,33 - 71,-2.205621821,0.013705245
122,Oct-41,-2.200395221,0.013889433
341,33 - 70,-2.193645294,0.01413046
274,56 - 59,-2.162963429,0.015271996
69,3-Dec,-2.120790212,0.01696973
281,14 - 6,2.115035062,0.01721348
127,18 - 41,-2.115025948,0.017213868
229,43 - 57,-2.114120443,0.017252491
413,18 - 73,-2.099475197,0.017887516
148,23 - 42,2.083494546,0.018603084
303,7-Dec,-2.08154596,0.018691981
264,22 - 59,-2.067135935,0.019360673
408,Oct-73,-2.057669312,0.019810944
135,32 - 41,-2.048643827,0.020248478
158,14 - 43,2.029842326,0.021186285
126,15 - 41,-2.02019044,0.021681819
445,21 - 9,-2.015115296,0.021946285
269,33 - 59,-2.007681401,0.022338579
288,23 - 6,1.982252592,0.023725489
81,31-Dec,-1.965832585,0.024658976
343,42 - 70,-1.958306033,0.025097057
421,32 - 73,-1.94295604,0.026010735
