Neighborhood,Code,Square,Weight,mg.ml,ppb,Al,Al_Percent,Al_per_day,Al_ppb,Al_ppb_day,Cr,Cr_Percent,Cr_ppb,Cr_ppb_day,Fe,Fe_Percent,Fe_per_day,Fe_Ppb,Fe_ppb_day,Pb,Pb_Percent,Pb_per_day,Pb_ppb,Pb_ppb_day,Ni,Ni_Percent,Ni_ppb,Ni_ppb_day,Area,Density,AADT_max,AADT_sum,AADT_mean,AADT_median,NB,Eastalco_dist_m,Gd_dist_m,Ngc_dist_m,Bmoreterminal_dist_m,Adell_dist_m,Prince_dist_m,Sd_dist_m,Sng_dist_m,Usg_dist_m,Kemira_dist_m
CB,1282,1,5.1,1.7,1700000,324,0.0190573,0.000794054,190573,7941,BLQ,NA,NA,NA,282,0.0165849,0.000691038,165849,6910,119,0.0069919,0.000291329,69919,2913,BLQ,NA,NA,NA,604.788,0.049604158,12970,12970,12970,12970,CB,12240100.31,8563819.815,10302787.69,5179829.397,16597002.01,14080557,10172178.03,13069308.25,9422406.153,11685275.92
CB,1292,1,20.23,6.743333333,6743333.333,613,0.0090889,0.000378704,90889,3787,BLQ,NA,NA,NA,610,0.0090506,0.000377108,90506,3771,481,0.007133,0.000297208,71330,2972,BLQ,NA,NA,NA,604.788,0.049604158,12970,12970,12970,12970,CB,12240100.31,8563819.815,10302787.69,5179829.397,16597002.01,14080557,10172178.03,13069308.25,9422406.153,11685275.92
CB,1302,1,14,4.666666667,4666666.667,475,0.010179,0.000424125,101790,4241,BLQ,NA,NA,NA,439,0.0094088,0.000392033,94088,3920,244,0.0052211,0.000217546,52211,2175,BLQ,NA,NA,NA,604.788,0.049604158,12970,12970,12970,12970,CB,12240100.31,8563819.815,10302787.69,5179829.397,16597002.01,14080557,10172178.03,13069308.25,9422406.153,11685275.92
CB,1312,1,13.43,4.476666667,4476666.667,501,0.0111825,0.000465938,111825,4659,BLQ,NA,NA,NA,456,0.0101941,0.000424754,101941,4248,197,0.00439,0.000182917,43900,1829,BLQ,NA,NA,NA,604.788,0.049604158,12970,12970,12970,12970,CB,12240100.31,8563819.815,10302787.69,5179829.397,16597002.01,14080557,10172178.03,13069308.25,9422406.153,11685275.92
CB,1322,1,12.72,4.24,4240000,351,0.0082853,0.000345221,82853,3452,BLQ,NA,NA,NA,379,0.0089375,0.000372396,89375,3724,489,0.0115327,0.000480529,115327,4805,BLQ,NA,NA,NA,604.788,0.049604158,12970,12970,12970,12970,CB,12240100.31,8563819.815,10302787.69,5179829.397,16597002.01,14080557,10172178.03,13069308.25,9422406.153,11685275.92
CB,3222,3,22.9,7.633333333,7633333.333,669,0.0087695,0.000365396,87695,3654,BLQ,NA,NA,NA,513,0.006721,0.000280042,67210,2800,323,0.0042269,0.000176121,42269,1761,BLQ,NA,NA,NA,604.788,0.04960416,12970,26130,8710,7840,CB,16198512.63,878900.5496,4382883.45,5509586.192,12936761.35,15288275.83,1515678.066,5450613.029,292888.1539,13238666.41
CB,3232,3,4.61,1.536666667,1536666.667,289,0.0188048,0.000783533,188048,7835,BLQ,NA,NA,NA,184,0.0119596,0.000498317,119596,4983,122,0.0079134,0.000329725,79134,3297,BLQ,NA,NA,NA,604.788,0.04960416,12970,26130,8710,7840,CB,16198512.63,878900.5496,4382883.45,5509586.192,12936761.35,15288275.83,1515678.066,5450613.029,292888.1539,13238666.41
CB,3242,3,14.57,4.856666667,4856666.667,1008,0.0207486,0.000864525,207486,8645,BLQ,NA,NA,NA,533,0.0109772,0.000457383,109772,4574,250,0.0051395,0.000214146,51395,2141,BLQ,NA,NA,NA,604.788,0.04960416,12970,26130,8710,7840,CB,16198512.63,878900.5496,4382883.45,5509586.192,12936761.35,15288275.83,1515678.066,5450613.029,292888.1539,13238666.41
CB,3252,3,6.41,2.136666667,2136666.667,160,0.0074779,0.000311579,74779,3116,BLQ,NA,NA,NA,137,0.0064009,0.000266704,64009,2667,84,0.0039266,0.000163608,39266,1636,BLQ,NA,NA,NA,604.788,0.04960416,12970,26130,8710,7840,CB,16198512.63,878900.5496,4382883.45,5509586.192,12936761.35,15288275.83,1515678.066,5450613.029,292888.1539,13238666.41
CB,3262,3,6.23,2.076666667,2076666.667,298,0.0143632,0.000598467,143632,5985,BLQ,NA,NA,NA,280,0.01346,0.000560833,134600,5608,286,0.0137683,0.000573679,137683,5737,BLQ,NA,NA,NA,604.788,0.04960416,12970,26130,8710,7840,CB,16198512.63,878900.5496,4382883.45,5509586.192,12936761.35,15288275.83,1515678.066,5450613.029,292888.1539,13238666.41
