Square,mg.ml,Al_per_day,Fe_per_day,Pb_per_day,Density,AADT_max,AADT_sum,AADT_mean,Gd_dist_m,Bmoreterminal_dist_m,Adell_dist_m,Sng_dist_m,Usg_dist_m,Kemira_dist_m,Ngc_dist_m,Prince_dist_m,Sd_dist_m,Eastalco_dist_m
56,16.19,8.13E-05,5.79E-05,2.69E-05,16.00025,19812,27203,13601.5,19250156.65,15902899.01,5559188.323,13675735.59,18263602.07,6904032.005,14773182.76,3998311.631,17514239.65,3767705.011
12,0.58,0.000710244,0.000329548,4.22E-05,7.040948675,2971,7793,2597.666667,5756087.481,8925313.945,10670251.15,10023883.2,5086284.986,18467038.18,1773391.943,16650046.61,6697954.715,17957406.84
6,1.283333333,0.000202754,0.00016205,4.49E-05,0.049604158,7840,13160,6580,12142333.06,13872979.96,4907448.373,6650686.734,11620062.72,5859469.878,11910743.64,4027585.722,10378226.76,5786518.605
21,1.14,0.0002447,0.000109568,4.53E-05,26.34280272,561,561,561,15163125.19,10884681.75,10895305.06,16245934.89,16073344.55,8099964.966,15115722.38,8077240.343,16531952.62,6454844.402
13,0.32,0.00126053,0.000403607,4.63E-05,7.040949,561,561,561,4175657.688,3074368.915,16803363.84,9438585.501,4991144.609,13448874.79,6815498.389,17161484.46,5876820.744,15743768
20,0.276666667,0.00110515,0.000395882,4.97E-05,33.21326855,2971,2971,2971,16300493.25,14898417.79,6947705.591,17220916.77,15847927.85,10693342.42,11933186.63,8138442.447,17431905.66,7675213.209
12,1.31,0.000389478,0.000263611,5.00E-05,7.040948675,2971,7793,2597.666667,5756087.481,8925313.945,10670251.15,10023883.2,5086284.986,18467038.18,1773391.943,16650046.61,6697954.715,17957406.84
43,0.216666667,0.022102677,NA,5.13E-05,23.11399401,15830,17321,8660.5,16895054.3,12265360.09,9233399.8,14445347.94,18034916.91,5998602.684,17082899.8,5492063.363,17227533.12,3888635.673
15,24.27333333,0.000129163,6.44E-05,5.28E-05,7.040948675,7840,13160,6580,11313858.29,10354611.69,8980151.213,6193949.009,11568140.38,2414759.591,14404649.26,4362652.167,9895693.597,4799384.517
31,0.303333333,0.001131141,0.005685795,5.29E-05,23.11399401,2971,2971,2971,8240461.73,12716765.03,5572540.976,6232096.922,7174069.193,11848831.62,5758208.815,9911088.704,7070849.791,11751390.44
42,0.336666667,0.000242877,NA,5.57E-05,54.44636004,15830,17731,8865.5,6508472.757,4465082.905,14432502.75,5199348.263,7364307.153,6604493.522,11461674,10097472.65,6046176.707,9716330.811
55,0.386666667,0.000997027,0.004243359,5.60E-05,16.00025481,64785,129570,64785,17665914.48,13735997.97,7389390.462,12751981.38,18231180.01,4812917.311,17139634.69,3161510.75,16556729.61,1872019.709
42,0.346666667,0.006980773,0.012061895,6.24E-05,54.44636004,15830,17731,8865.5,6508472.757,4465082.905,14432502.75,5199348.263,7364307.153,6604493.522,11461674,10097472.65,6046176.707,9716330.811
72,0.36,0.000660832,0.011980732,6.76E-05,13.52894734,52294,57186,19062,10450676.86,14848110.16,3380263.428,7596857.138,9387296.89,10794629.02,7506045.195,8101677.719,9209084.685,9900539.049
22,7.783333333,0.000190713,0.000118292,6.86E-05,14.49246351,2891,2891,2891,3762576.701,8293267.692,10399242.9,6536318.31,2650366.925,14980657.25,1888947.084,14925834.06,3763802.094,16692963.63
72,0.296666667,0.000887095,0.011493459,7.03E-05,13.52894734,52294,57186,19062,10450676.86,14848110.16,3380263.428,7596857.138,9387296.89,10794629.02,7506045.195,8101677.719,9209084.685,9900539.049
22,8.8,0.000218858,0.000138296,7.10E-05,14.49246351,2891,2891,2891,3762576.701,8293267.692,10399242.9,6536318.31,2650366.925,14980657.25,1888947.084,14925834.06,3763802.094,16692963.63
33,8.44,0.000172692,0.000108375,7.73E-05,26.34280272,15830,18721,9360.5,2744615.782,5995195.947,12167258.05,2938681.885,2698822.743,10863851.34,6302803.272,12778975.22,1043322.151,13669322.41
32,9.03,0.000221,0.000148917,7.76E-05,26.34280272,2971,3532,1766,1360672.898,3285260.308,15073655.29,5994542.236,2502727.251,12118851.02,6261869.806,15269945.66,2581780.249,15247532.96
43,0.156666667,0.020016218,NA,8.76E-05,23.11399401,15830,17321,8660.5,16895054.3,12265360.09,9233399.8,14445347.94,18034916.91,5998602.684,17082899.8,5492063.363,17227533.12,3888635.673
21,5.33,0.000194136,0.000126168,9.25E-05,26.34280272,561,561,561,15163125.19,10884681.75,10895305.06,16245934.89,16073344.55,8099964.966,15115722.38,8077240.343,16531952.62,6454844.402
12,0.226666667,0.001102444,0.013840448,0.000106856,7.040948675,2971,7793,2597.666667,5756087.481,8925313.945,10670251.15,10023883.2,5086284.986,18467038.18,1773391.943,16650046.61,6697954.715,17957406.84
9,3.536666667,0.000187758,0.00011275,0.000110067,7.040949,11232,14123,7061.5,12596014.71,16456356.19,3812365.711,12383369.11,11518141.52,13119525.38,7634652.535,9387291.291,12395444.71,10410970.65
13,0.156666667,0.001468315,0.011424133,0.000112244,7.040949,561,561,561,4175657.688,3074368.915,16803363.84,9438585.501,4991144.609,13448874.79,6815498.389,17161484.46,5876820.744,15743768
33,8.876666667,0.000172638,0.000126229,0.000115388,26.34280272,15830,18721,9360.5,2744615.782,5995195.947,12167258.05,2938681.885,2698822.743,10863851.34,6302803.272,12778975.22,1043322.151,13669322.41
10,5.266666667,0.000400342,0.000278542,0.000116138,7.040948675,11232,24392,8130.666667,11142253.83,9712341.413,11838019.28,16819798.49,11334557.75,13932351.43,9248073.262,13316756.94,12862194.63,12096164.19
21,0.71,0.00058295,0.000286323,0.000126959,26.34280272,561,561,561,15163125.19,10884681.75,10895305.06,16245934.89,16073344.55,8099964.966,15115722.38,8077240.343,16531952.62,6454844.402
